Filename, # of times changed, Code Churn
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/AggregatedAuditExpression.java, 2, 328
hibernate-envers/src/main/java/org/hibernate/envers/query/AuditEntity.java, 2, 355
hibernate-envers/src/main/java/org/hibernate/envers/internal/tools/query/QueryBuilder.java, 2, 869
hibernate-envers/src/main/java/org/hibernate/envers/internal/tools/Tools.java, 2, 172
hibernate-envers/src/main/java/org/hibernate/envers/internal/tools/EntityTools.java, 2, 164
hibernate-envers/src/main/java/org/hibernate/envers/internal/synchronization/work/PersistentCollectionChangeWorkUnit.java, 2, 653
hibernate-envers/src/main/java/org/hibernate/envers/internal/synchronization/EntityChangeNotifier.java, 2, 146
hibernate-envers/src/main/java/org/hibernate/envers/internal/synchronization/AuditProcessManager.java, 2, 158
hibernate-envers/src/main/java/org/hibernate/envers/internal/reader/CrossTypeRevisionChangesReaderImpl.java, 2, 360
hibernate-envers/src/main/java/org/hibernate/envers/internal/reader/AuditReaderImpl.java, 2, 932
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/MapCollectionMapper.java, 2, 251
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/BasicCollectionMapper.java, 2, 219
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/AbstractCollectionMapper.java, 2, 893
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/RevisionTypeType.java, 2, 254
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/EntityInstantiator.java, 2, 494
hibernate-envers/src/main/java/org/hibernate/envers/internal/EnversMessageLogger.java, 2, 117
hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/metadata/reader/AuditedPropertiesReader.java, 2, 2053
hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/metadata/AuditMetadataGenerator.java, 2, 1815
hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/AuditEntitiesConfiguration.java, 2, 239
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/xml/XmlTest.java, 2, 158
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/transaction/TransactionCommitFailureTest.java, 2, 230
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/schemagen/JpaSchemaGeneratorTest.java, 2, 332
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/query/TypedValueParametersTest.java, 2, 466
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/query/CachedQueryTest.java, 2, 392
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/procedure/StoreProcedureRefCursorOutParameterByPositionTest.java, 2, 296
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/procedure/StoreProcedureRefCursorOutParameterByNameTest.java, 2, 294
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/procedure/JpaTckUsageTest.java, 2, 1130
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/procedure/DateTimeParameterTest.java, 2, 742
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/packaging/PackagingTestCase.java, 2, 976
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/packaging/JarVisitorTest.java, 2, 1608
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/pack/defaultpar/package-info.java, 2, 22
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/lock/QueryLockingTest.java, 2, 972
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/lock/LockTest.java, 2, 2096
