File,post_release_bugs
hibernate-core/src/main/java/org/hibernate/property/access/internal/PropertyAccessMixedImpl.java,3
hibernate-core/src/main/java/org/hibernate/action/spi/BeforeTransactionCompletionProcess.java,1
hibernate-core/src/main/java/org/hibernate/tool/schema/internal/IndividuallySchemaValidatorImpl.java,1
hibernate-core/src/main/java/org/hibernate/jpa/AvailableSettings.java,1
hibernate-core/src/test/java/org/hibernate/test/insertordering/ElementCollectionTest.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/expression/SearchedCaseExpression.java,1
hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/metadata/AuditMetadataGenerator.java,2
hibernate-core/src/test/java/org/hibernate/test/sql/NativeQueryDoesNotSupportIterationTest.java,1
hibernate-core/src/test/java/org/hibernate/test/bulkid/AbstractBulkIdTest.java,1
hibernate-core/src/test/java/org/hibernate/test/lazyload/LazyLoadingNotFoundTest.java,1
hibernate-core/src/main/java/org/hibernate/event/internal/AbstractFlushingEventListener.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/compile/CriteriaQueryTypeQueryAdapter.java,2
hibernate-core/src/main/java/org/hibernate/mapping/IdentifierCollection.java,1
hibernate-core/src/main/java/org/hibernate/loader/plan/build/internal/returns/AbstractCollectionReference.java,1
hibernate-core/src/main/java/org/hibernate/SessionBuilder.java,2
hibernate-core/src/main/java/org/hibernate/tool/schema/internal/HibernateSchemaManagementTool.java,4
hibernate-core/src/main/java/org/hibernate/jpa/internal/PersistenceUnitUtilImpl.java,3
hibernate-core/src/test/java/org/hibernate/test/annotations/collectionelement/EmbeddableCollectionElementWithLazyManyToOneTest.java,1
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/SelectExpression.java,1
hibernate-core/src/main/java/org/hibernate/type/PrimitiveCharacterArrayNClobType.java,1
hibernate-core/src/test/java/org/hibernate/test/type/TimeAndTimestampTest.java,1
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/EntityInstantiator.java,2
hibernate-core/src/test/java/org/hibernate/test/dialect/unit/sequence/DerbyTenFiveDialectSequenceInformationExtractorTest.java,1
hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/ReadOnlyEhcacheEntityRegionAccessStrategy.java,1
hibernate-core/src/test/java/org/hibernate/test/criteria/SessionCreateQueryFromCriteriaTest.java,1
hibernate-core/src/main/java/org/hibernate/engine/query/spi/ParameterParser.java,2
hibernate-core/src/test/java/org/hibernate/sharedSession/SessionWithSharedConnectionTest.java,2
hibernate-core/src/main/java/org/hibernate/hql/spi/id/local/Helper.java,1
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/TombstoneTest.java,1
hibernate-core/src/test/java/org/hibernate/test/subselect/join/SubselectInJoinedTableTest.java,1
hibernate-core/src/main/java/org/hibernate/dialect/pagination/LimitHandler.java,1
hibernate-core/src/main/java/org/hibernate/TransientPropertyValueException.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/customtype/ExtendedEnumTypeTest.java,1
hibernate-core/src/test/java/org/hibernate/test/entitymode/dom4j/DeprecationLoggingTest.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/manytoone/DetachedUpdateTest.java,1
hibernate-core/src/test/java/org/hibernate/test/wf/ddl/cmt/emf/DdlInWildFlyUsingBmtAndEmfTest.java,1
hibernate-core/src/test/java/org/hibernate/test/subquery/SubqueryTest.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/collection/EntitySameMapKeyMultiMapValueTest.java,1
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractRegionAccessStrategyTest.java,4
hibernate-spatial/src/test/java/org/hibernate/spatial/testing/dialects/mysql/MySQL56ExpectationsFactory.java,1
hibernate-core/src/main/java/org/hibernate/cfg/annotations/reflection/JPAOverriddenAnnotationReader.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/ids/EmbeddedIdRelatedIdQueryTest.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/query/NativeQueryOrdinalParametersTest.java,2
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/MapCollectionMapper.java,1
hibernate-core/src/test/java/org/hibernate/test/hql/CollectionPropertyDeprecationsTest.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/naturalid/NaturalIdTest.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/notfound/Coin.java,1
hibernate-core/src/main/java/org/hibernate/mapping/Table.java,2
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/collection/StringMapNationalizedLobTest.java,4
hibernate-core/src/test/java/org/hibernate/test/cfg/PropertyAccessTypeDetectionType.java,1
hibernate-core/src/test/java/org/hibernate/test/cache/NoCachingRegionFactoryTest.java,1
hibernate-core/src/main/java/org/hibernate/dialect/SQLServer2005Dialect.java,2
hibernate-core/src/test/java/org/hibernate/test/component/empty/EmptyCompositeManyToOneKeyCachedTest.java,1
hibernate-core/src/main/java/org/hibernate/criterion/Property.java,1
hibernate-core/src/test/java/org/hibernate/test/component/empty/EmptyInitializedCompositesTest.java,1
hibernate-orm-modules/src/test/resources/jboss-deployment-structure.xml,1
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TombstoneAccessDelegate.java,1
hibernate-envers/src/main/java/org/hibernate/envers/enhanced/OrderedSequenceStructure.java,2
hibernate-core/src/main/java/org/hibernate/type/OneToOneType.java,1
hibernate-testing/src/main/java/org/hibernate/testing/bytecode/enhancement/EnhancerTestUtils.java,2
hibernate-core/src/main/java/org/hibernate/dialect/SQLServer2012Dialect.java,2
hibernate-core/src/main/java/org/hibernate/cfg/annotations/HCANNHelper.java,1
hibernate-core/src/test/java/org/hibernate/engine/spi/delegation/TestDelegatingSessionBuilderImplementor.java,1
hibernate-core/src/main/java/org/hibernate/resource/transaction/backend/jta/internal/JtaTransactionCoordinatorBuilderImpl.java,1
hibernate-core/src/test/java/org/hibernate/dialect/DB2DialectTestCase.java,1
