id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Checked,ParentNodeType,RecoverFlag,InnerCatch,ParentTryStartLine,Logged,MultiLog,Abort,Default,GetCause,OtherInvocation,NumThrown,NumThrowNew,NumThrowWrapCurrentException,Return,Continue,EmptyBlock,CatchException,FinallyThrowing,NumDistinctMethods,NumMethodsNotBinded,NumDistinctExceptions,NumSpecificHandler,NumSubsumptionHandler,NumSupersumptionHandler,NumOtherHandler,MaxLevel,NumIsBindingInfo,NumIsDocSemantic,NumIsDocSyntax,NumIsThrow,ToDo,ExceptionType,ParentMethod,ParentType,Filename,StartLine
2187,138,141,1,141,144,1,5325,98,128,147,16,1,1,-9,0,70,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,"Exception","doCreation(Metadata,Dialect,ExecutionOptions,SourceDescriptor,GenerationTarget)","org.hibernate.tool.schema.internal.SchemaCreatorImpl","hibernate-core\src\main\java\org\hibernate\tool\schema\internal\SchemaCreatorImpl.java",141
2188,495,504,7,504,507,1,16699,110,494,508,12,1,1,-9,0,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"Exception","interpretLegacyImportScriptSetting(String,ClassLoaderService)","org.hibernate.tool.schema.internal.SchemaCreatorImpl","hibernate-core\src\main\java\org\hibernate\tool\schema\internal\SchemaCreatorImpl.java",504
2189,129,132,1,132,135,1,5043,98,119,138,16,1,1,-9,0,70,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,"Exception","doDrop(Metadata,ExecutionOptions,Dialect,SourceDescriptor,GenerationTarget)","org.hibernate.tool.schema.internal.SchemaDropperImpl","hibernate-core\src\main\java\org\hibernate\tool\schema\internal\SchemaDropperImpl.java",132
2190,113,116,1,116,119,1,4357,86,83,125,23,1,1,-9,0,54,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Exception","doMigration(Metadata,ExecutionOptions,TargetDescriptor)","org.hibernate.tool.schema.internal.SchemaMigratorImpl","hibernate-core\src\main\java\org\hibernate\tool\schema\internal\SchemaMigratorImpl.java",116
2191,141,144,1,144,147,1,4967,98,131,150,16,1,1,-9,0,70,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,"Exception","doMigration(Metadata,DatabaseInformation,ExecutionOptions,Dialect,GenerationTarget)","org.hibernate.tool.schema.internal.SchemaMigratorImpl","hibernate-core\src\main\java\org\hibernate\tool\schema\internal\SchemaMigratorImpl.java",144
2192,70,73,1,73,76,1,2617,84,53,78,13,1,1,-9,0,54,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Exception","doValidation(Metadata,ExecutionOptions)","org.hibernate.tool.schema.internal.SchemaValidatorImpl","hibernate-core\src\main\java\org\hibernate\tool\schema\internal\SchemaValidatorImpl.java",73
2193,36,38,1,39,44,1,1094,152,35,45,6,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"Exception","transformTuple(Object[],String[])","org.hibernate.transform.AliasToBeanConstructorResultTransformer","hibernate-core\src\main\java\org\hibernate\transform\AliasToBeanConstructorResultTransformer.java",39
2194,84,87,1,87,90,1,2877,96,73,92,17,1,1,-9,0,25,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,"Exception","instantiate()","org.hibernate.tuple.PojoInstantiator","hibernate-core\src\main\java\org\hibernate\tuple\PojoInstantiator.java",87
2195,40,43,1,43,46,1,1325,83,39,47,6,1,1,-9,0,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"Exception","getValueGenerator()","org.hibernate.tuple.VmValueGeneration","hibernate-core\src\main\java\org\hibernate\tuple\VmValueGeneration.java",43
2196,123,128,3,128,131,1,4116,95,122,132,8,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,2,1,1,0,0,0,1,2,0,0,1,1,0,"Exception","type(Class<Type>,Properties)","org.hibernate.type.TypeFactory","hibernate-core\src\main\java\org\hibernate\type\TypeFactory.java",128
2197,163,168,3,168,171,1,5464,102,162,172,8,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,3,1,1,0,0,0,1,2,0,0,1,1,0,"Exception","customComponent(Class<CompositeUserType>,Properties,TypeScope)","org.hibernate.type.TypeFactory","hibernate-core\src\main\java\org\hibernate\type\TypeFactory.java",168
2198,201,206,3,206,209,1,6649,102,200,210,8,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,3,1,1,0,0,0,1,2,0,0,1,1,0,"Exception","custom(Class<UserType>,Properties,TypeScope)","org.hibernate.type.TypeFactory","hibernate-core\src\main\java\org\hibernate\type\TypeFactory.java",206
2199,82,86,2,86,89,1,3128,74,37,92,31,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,20,0,0,0,0,0,13,0,0,0,0,0,"Exception","testConnectionClose()","org.hibernate.engine.jdbc.internal.JdbcCoordinatorTest","hibernate-core\src\test\java\org\hibernate\engine\jdbc\internal\JdbcCoordinatorTest.java",86
2200,77,81,2,81,85,2,2679,57,43,101,42,1,1,-9,0,54,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,"Exception","testGeneratedUuidId()","org.hibernate.id.uuid.GeneratedValueTest","hibernate-core\src\test\java\org\hibernate\id\uuid\GeneratedValueTest.java",81
2201,90,93,1,93,95,0,2848,7,43,101,42,1,1,-9,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,"Exception","testGeneratedUuidId()","org.hibernate.id.uuid.GeneratedValueTest","hibernate-core\src\test\java\org\hibernate\id\uuid\GeneratedValueTest.java",93
2202,160,165,3,168,171,1,4578,76,156,176,15,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,0,0,"Exception","testException()","org.hibernate.jpa.test.callbacks.CallbacksTest","hibernate-core\src\test\java\org\hibernate\jpa\test\callbacks\CallbacksTest.java",168
2203,47,50,1,50,52,0,1691,7,32,55,16,1,1,-9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"Exception","testBootstrapWithClassMappedMOreThanOnce()","org.hibernate.jpa.test.callbacks.hbmxml.MappingClassMoreThanOnceTest","hibernate-core\src\test\java\org\hibernate\jpa\test\callbacks\hbmxml\MappingClassMoreThanOnceTest.java",50
2204,39,42,1,42,45,1,1149,23,28,61,30,1,1,-9,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"Exception","testDatasourceInjection()","org.hibernate.jpa.test.connection.DataSourceInjectionTest","hibernate-core\src\test\java\org\hibernate\jpa\test\connection\DataSourceInjectionTest.java",42
2205,200,213,11,213,216,1,6449,90,198,218,18,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,11,0,0,0,0,0,1,0,0,0,0,0,"Exception","serializeDeserialize(T)","org.hibernate.jpa.test.criteria.CriteriaCompilingTest","hibernate-core\src\test\java\org\hibernate\jpa\test\criteria\CriteriaCompilingTest.java",213
