Filename,pre_release_bugs
hibernate-testing/src/main/java/org/hibernate/testing/cache/EntityRegionImpl.java,1
hibernate-core/src/main/java/org/hibernate/dialect/AbstractTransactSQLDialect.java,1
hibernate-core/src/main/java/org/hibernate/dialect/pagination/SQLServer2005LimitHandler.java,3
hibernate-core/src/test/java/org/hibernate/test/enums/EnumExplicitTypeTest.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/multicircle/nonjpa/identity/EntityF.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/procedure/StoreProcedureOutParameterByNameTest.java,1
hibernate-core/src/main/java/org/hibernate/engine/internal/Collections.java,1
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseRegion.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/xml/hbm/BImpl.java,1
hibernate-core/src/main/java/org/hibernate/dialect/InformixDialect.java,1
hibernate-core/src/test/java/org/hibernate/test/schemaupdate/SchemaExportTest.java,1
hibernate-core/src/main/java/org/hibernate/jpa/boot/internal/EntityManagerFactoryBuilderImpl.java,4
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadWriteCollectionRegionAccessStrategy.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/multicircle/jpa/identity/EntityD.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/multicircle/jpa/identity/EntityG.java,1
hibernate-core/src/test/resources/org/hibernate/test/enums/Person.hbm.xml,1
hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/multicircle/nonjpa/identity/EntityC.java,1
hibernate-ehcache/src/test/java/org/hibernate/test/cache/ehcache/functional/RefreshUpdatedDataTest.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/expression/SimpleCaseExpression.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/data/LobTestEntity.java,1
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/SimpleAuditExpression.java,1
hibernate-core/src/main/java/org/hibernate/engine/internal/AbstractEntityEntry.java,1
